waveform;Bridge;Voltage_0;Voltage_1;Bridge (Filtered)
t0;15/11/2021  13:12:04,135602;15/11/2021  13:12:04,135602;15/11/2021  13:12:04,135602;15/11/2021  13:12:04,135602
delta t;0,000620;0,000620;0,000620;0,000620

time;Bridge;Voltage_0;Voltage_1;Bridge (Filtered)
15/11/2021  13:12:04,135602;1,465082E-5;3,392081E+0;8,831922E-1;7,600226E-8
15/11/2021  13:12:04,136222;1,691282E-5;3,023117E+0;9,570459E-1;4,848749E-7
15/11/2021  13:12:04,136842;1,950860E-5;8,206302E+0;1,204242E+0;1,540459E-6
15/11/2021  13:12:04,137462;2,030432E-5;4,680858E+0;8,316167E-1;3,375309E-6
15/11/2021  13:12:04,138082;1,763702E-5;-5,264668E+0;1,095903E+0;5,876703E-6
15/11/2021  13:12:04,138702;1,857281E-5;3,495537E+0;9,030289E-1;8,752186E-6
15/11/2021  13:12:04,139322;2,281368E-5;-5,874723E-1;1,008316E+0;1,167718E-5
15/11/2021  13:12:04,139942;1,763105E-5;8,349737E-1;1,040665E+0;1,441258E-5
15/11/2021  13:12:04,140562;2,129674E-5;9,333639E+0;1,256428E+0;1,678090E-5
15/11/2021  13:12:04,141182;2,231896E-5;-8,729076E+0;1,451133E+0;1,867612E-5
15/11/2021  13:12:04,141802;2,198219E-5;4,643626E+0;1,548180E+0;2,010524E-5
15/11/2021  13:12:04,142422;2,348125E-5;8,768750E+0;1,244526E+0;2,113798E-5
15/11/2021  13:12:04,143042;2,354384E-5;-9,435264E+0;1,752041E+0;2,186218E-5
15/11/2021  13:12:04,143662;2,532900E-5;-7,828794E+0;1,856413E+0;2,237819E-5
15/11/2021  13:12:04,144282;2,480745E-5;8,162661E+0;1,946136E+0;2,278372E-5
15/11/2021  13:12:04,144902;2,360046E-5;-1,256123E+0;1,727932E+0;2,314121E-5
15/11/2021  13:12:04,145522;2,736449E-5;4,851148E+0;1,636378E+0;2,347533E-5
15/11/2021  13:12:04,146142;2,922416E-5;-2,496681E+0;2,168612E+0;2,383462E-5
15/11/2021  13:12:04,146762;2,549887E-5;-2,648661E+0;1,865873E+0;2,428352E-5
15/11/2021  13:12:04,147382;2,464950E-5;4,594186E+0;2,193942E+0;2,480188E-5
15/11/2021  13:12:04,148002;2,904535E-5;-7,850156E+0;1,805142E+0;2,530709E-5
15/11/2021  13:12:04,148622;3,102720E-5;-1,488365E+0;1,814298E+0;2,578911E-5
15/11/2021  13:12:04,149242;2,965629E-5;7,713436E+0;2,032197E+0;2,631550E-5
15/11/2021  13:12:04,149862;3,103614E-5;6,962997E+0;2,430457E+0;2,692630E-5
15/11/2021  13:12:04,150482;3,170073E-5;-9,287861E+0;2,110323E+0;2,761230E-5
15/11/2021  13:12:04,151102;3,346801E-5;3,584955E+0;2,321202E+0;2,836044E-5
15/11/2021  13:12:04,151722;3,197789E-5;1,379110E+0;2,170443E+0;2,915921E-5
15/11/2021  13:12:04,152342;3,259778E-5;1,609522E+0;2,605325E+0;2,997157E-5
15/11/2021  13:12:04,152962;3,047586E-5;5,719692E+0;2,440223E+0;3,072896E-5
15/11/2021  13:12:04,153582;3,485084E-5;7,712825E+0;2,537270E+0;3,137064E-5
15/11/2021  13:12:04,154202;3,510714E-5;7,902647E+0;2,934920E+0;3,190383E-5
15/11/2021  13:12:04,154822;3,511310E-5;-3,108568E+0;2,500649E+0;3,239134E-5
15/11/2021  13:12:04,155442;3,591478E-5;-5,348898E+0;2,496071E+0;3,288123E-5
15/11/2021  13:12:04,156062;3,792942E-5;-8,102235E+0;2,605020E+0;3,339900E-5
15/11/2021  13:12:04,156682;3,697872E-5;-8,630808E+0;3,117418E+0;3,396843E-5
15/11/2021  13:12:04,157302;3,388226E-5;-8,564889E+0;2,888533E+0;3,457161E-5
15/11/2021  13:12:04,157922;3,491342E-5;8,551766E+0;3,100633E+0;3,512176E-5
15/11/2021  13:12:04,158542;3,797412E-5;-9,994049E+0;3,241627E+0;3,554528E-5
15/11/2021  13:12:04,159162;3,989935E-5;-1,687648E-1;2,912947E+0;3,587262E-5
15/11/2021  13:12:04,159782;3,860891E-5;-1,380026E+0;2,957198E+0;3,619858E-5
15/11/2021  13:12:04,160402;3,783405E-5;-6,850385E+0;3,165026E+0;3,657490E-5
15/11/2021  13:12:04,161022;4,116595E-5;3,157702E+0;3,388418E+0;3,699517E-5
