waveform	Bridge	Voltage_0	Voltage_1	Bridge (Filtered)
t0	15/11/2021  13:12:06,796008	15/11/2021  13:12:06,796008	15/11/2021  13:12:06,796008	15/11/2021  13:12:06,796008
delta t	0,000620	0,000620	0,000620	0,000620

time	Bridge	Voltage_0	Voltage_1	Bridge (Filtered)
15/11/2021  13:12:06,796008	1,465082E-5	3,392081E+0	8,831922E-1	7,600226E-8
15/11/2021  13:12:06,796628	1,691282E-5	3,023117E+0	9,570459E-1	4,848749E-7
15/11/2021  13:12:06,797248	1,950860E-5	8,206302E+0	1,204242E+0	1,540459E-6
15/11/2021  13:12:06,797868	2,030432E-5	4,680858E+0	8,316167E-1	3,375309E-6
15/11/2021  13:12:06,798488	1,763702E-5	-5,264668E+0	1,095903E+0	5,876703E-6
15/11/2021  13:12:06,799108	1,857281E-5	3,495537E+0	9,030289E-1	8,752186E-6
15/11/2021  13:12:06,799728	2,281368E-5	-5,874723E-1	1,008316E+0	1,167718E-5
15/11/2021  13:12:06,800348	1,763105E-5	8,349737E-1	1,040665E+0	1,441258E-5
15/11/2021  13:12:06,800968	2,129674E-5	9,333639E+0	1,256428E+0	1,678090E-5
15/11/2021  13:12:06,801588	2,231896E-5	-8,729076E+0	1,451133E+0	1,867612E-5
15/11/2021  13:12:06,802208	2,198219E-5	4,643626E+0	1,548180E+0	2,010524E-5
15/11/2021  13:12:06,802828	2,348125E-5	8,768750E+0	1,244526E+0	2,113798E-5
15/11/2021  13:12:06,803448	2,354384E-5	-9,435264E+0	1,752041E+0	2,186218E-5
15/11/2021  13:12:06,804068	2,532900E-5	-7,828794E+0	1,856413E+0	2,237819E-5
15/11/2021  13:12:06,804688	2,480745E-5	8,162661E+0	1,946136E+0	2,278372E-5
15/11/2021  13:12:06,805308	2,360046E-5	-1,256123E+0	1,727932E+0	2,314121E-5
15/11/2021  13:12:06,805928	2,736449E-5	4,851148E+0	1,636378E+0	2,347533E-5
15/11/2021  13:12:06,806548	2,922416E-5	-2,496681E+0	2,168612E+0	2,383462E-5
15/11/2021  13:12:06,807168	2,549887E-5	-2,648661E+0	1,865873E+0	2,428352E-5
15/11/2021  13:12:06,807788	2,464950E-5	4,594186E+0	2,193942E+0	2,480188E-5
15/11/2021  13:12:06,808408	2,904535E-5	-7,850156E+0	1,805142E+0	2,530709E-5
15/11/2021  13:12:06,809028	3,102720E-5	-1,488365E+0	1,814298E+0	2,578911E-5
15/11/2021  13:12:06,809648	2,965629E-5	7,713436E+0	2,032197E+0	2,631550E-5
15/11/2021  13:12:06,810268	3,103614E-5	6,962997E+0	2,430457E+0	2,692630E-5
15/11/2021  13:12:06,810888	3,170073E-5	-9,287861E+0	2,110323E+0	2,761230E-5
15/11/2021  13:12:06,811508	3,346801E-5	3,584955E+0	2,321202E+0	2,836044E-5
15/11/2021  13:12:06,812128	3,197789E-5	1,379110E+0	2,170443E+0	2,915921E-5
15/11/2021  13:12:06,812748	3,259778E-5	1,609522E+0	2,605325E+0	2,997157E-5
15/11/2021  13:12:06,813368	3,047586E-5	5,719692E+0	2,440223E+0	3,072896E-5
15/11/2021  13:12:06,813988	3,485084E-5	7,712825E+0	2,537270E+0	3,137064E-5
15/11/2021  13:12:06,814608	3,510714E-5	7,902647E+0	2,934920E+0	3,190383E-5
15/11/2021  13:12:06,815228	3,511310E-5	-3,108568E+0	2,500649E+0	3,239134E-5
15/11/2021  13:12:06,815848	3,591478E-5	-5,348898E+0	2,496071E+0	3,288123E-5
15/11/2021  13:12:06,816468	3,792942E-5	-8,102235E+0	2,605020E+0	3,339900E-5
15/11/2021  13:12:06,817088	3,697872E-5	-8,630808E+0	3,117418E+0	3,396843E-5
15/11/2021  13:12:06,817708	3,388226E-5	-8,564889E+0	2,888533E+0	3,457161E-5
15/11/2021  13:12:06,818328	3,491342E-5	8,551766E+0	3,100633E+0	3,512176E-5
15/11/2021  13:12:06,818948	3,797412E-5	-9,994049E+0	3,241627E+0	3,554528E-5
15/11/2021  13:12:06,819568	3,989935E-5	-1,687648E-1	2,912947E+0	3,587262E-5
15/11/2021  13:12:06,820188	3,860891E-5	-1,380026E+0	2,957198E+0	3,619858E-5
15/11/2021  13:12:06,820808	3,783405E-5	-6,850385E+0	3,165026E+0	3,657490E-5
15/11/2021  13:12:06,821428	4,116595E-5	3,157702E+0	3,388418E+0	3,699517E-5
15/11/2021  13:12:06,822048	3,800094E-5	1,771878E+0	3,321584E+0	3,744736E-5
15/11/2021  13:12:06,822668	3,802181E-5	2,464637E+0	3,594110E+0	3,789986E-5
15/11/2021  13:12:06,823288	4,085005E-5	3,671321E-1	3,548333E+0	3,830241E-5
15/11/2021  13:12:06,823908	4,428625E-5	-7,983215E+0	3,777218E+0	3,867060E-5
15/11/2021  13:12:06,824528	4,218519E-5	-4,666514E+0	3,471733E+0	3,908946E-5
15/11/2021  13:12:06,825148	4,180968E-5	3,490959E+0	3,828794E+0	3,960434E-5
15/11/2021  13:12:06,825768	4,624129E-5	-9,175860E+0	3,540398E+0	4,019861E-5
15/11/2021  13:12:06,826388	4,433394E-5	1,382773E+0	3,877012E+0	4,086732E-5
15/11/2021  13:12:06,827008	4,645586E-5	6,182956E-1	3,946288E+0	4,161467E-5
15/11/2021  13:12:06,827628	4,727841E-5	6,441444E+0	3,846189E+0	4,242725E-5
15/11/2021  13:12:06,828248	4,593730E-5	4,333867E+0	4,198367E+0	4,328183E-5
15/11/2021  13:12:06,828868	4,424155E-5	2,626383E+0	3,976196E+0	4,411850E-5
15/11/2021  13:12:06,829488	4,747808E-5	-8,868544E-1	4,088808E+0	4,485240E-5
15/11/2021  13:12:06,830108	4,486442E-5	-5,275349E+0	4,273442E+0	4,543727E-5
15/11/2021  13:12:06,830728	4,649759E-5	-4,155947E+0	4,269474E+0	4,586536E-5
15/11/2021  13:12:06,831348	4,714132E-5	-1,868315E+0	4,050355E+0	4,614997E-5
15/11/2021  13:12:06,831968	5,057454E-5	9,752346E+0	4,373236E+0	4,635223E-5
15/11/2021  13:12:06,832588	5,057156E-5	-8,475166E+0	4,348211E+0	4,657919E-5
15/11/2021  13:12:06,833208	4,670918E-5	-3,918822E+0	4,129702E+0	4,690228E-5
15/11/2021  13:12:06,833828	5,220175E-5	1,120012E+0	4,581064E+0	4,730864E-5
15/11/2021  13:12:06,834448	5,095303E-5	-1,419394E+0	4,220645E+0	4,777861E-5
15/11/2021  13:12:06,835068	5,087555E-5	2,838483E+0	4,273747E+0	4,831725E-5
15/11/2021  13:12:06,835688	5,189479E-5	-9,470054E+0	4,671092E+0	4,890466E-5
15/11/2021  13:12:06,836308	5,039275E-5	6,781109E-1	4,575265E+0	4,949849E-5
