waveform;Bridge;Voltage_0;Voltage_1;Bridge (Filtered)
t0;15/11/2021  13:12:05,467091;15/11/2021  13:12:05,467091;15/11/2021  13:12:05,467091;15/11/2021  13:12:05,467091
delta t;0,000620;0,000620;0,000620;0,000620

time;Bridge;Voltage_0;Voltage_1;Bridge (Filtered)
15/11/2021  13:12:05,467091;1,465082E-5;3,392081E+0;8,831922E-1;7,600226E-8
15/11/2021  13:12:05,467711;1,691282E-5;3,023117E+0;9,570459E-1;4,848749E-7
15/11/2021  13:12:05,468331;1,950860E-5;8,206302E+0;1,204242E+0;1,540459E-6
15/11/2021  13:12:05,468951;2,030432E-5;4,680858E+0;8,316167E-1;3,375309E-6
15/11/2021  13:12:05,469571;1,763702E-5;-5,264668E+0;1,095903E+0;5,876703E-6
15/11/2021  13:12:05,470191;1,857281E-5;3,495537E+0;9,030289E-1;8,752186E-6
15/11/2021  13:12:05,470811;2,281368E-5;-5,874723E-1;1,008316E+0;1,167718E-5
15/11/2021  13:12:05,471431;1,763105E-5;8,349737E-1;1,040665E+0;1,441258E-5
15/11/2021  13:12:05,472051;2,129674E-5;9,333639E+0;1,256428E+0;1,678090E-5
15/11/2021  13:12:05,472671;2,231896E-5;-8,729076E+0;1,451133E+0;1,867612E-5
15/11/2021  13:12:05,473291;2,198219E-5;4,643626E+0;1,548180E+0;2,010524E-5
15/11/2021  13:12:05,473911;2,348125E-5;8,768750E+0;1,244526E+0;2,113798E-5
15/11/2021  13:12:05,474531;2,354384E-5;-9,435264E+0;1,752041E+0;2,186218E-5
15/11/2021  13:12:05,475151;2,532900E-5;-7,828794E+0;1,856413E+0;2,237819E-5
15/11/2021  13:12:05,475771;2,480745E-5;8,162661E+0;1,946136E+0;2,278372E-5
15/11/2021  13:12:05,476391;2,360046E-5;-1,256123E+0;1,727932E+0;2,314121E-5
15/11/2021  13:12:05,477011;2,736449E-5;4,851148E+0;1,636378E+0;2,347533E-5
15/11/2021  13:12:05,477631;2,922416E-5;-2,496681E+0;2,168612E+0;2,383462E-5
15/11/2021  13:12:05,478251;2,549887E-5;-2,648661E+0;1,865873E+0;2,428352E-5
15/11/2021  13:12:05,478871;2,464950E-5;4,594186E+0;2,193942E+0;2,480188E-5
15/11/2021  13:12:05,479491;2,904535E-5;-7,850156E+0;1,805142E+0;2,530709E-5
15/11/2021  13:12:05,480111;3,102720E-5;-1,488365E+0;1,814298E+0;2,578911E-5
